Path,Instrs,Time(s),ICov(%),BCov(%),ICount,TSolver(%)
klee-out-cert-elements-oob-write_strncasestr-oob-read_new,71200,383.37,93.50,80.00,277,78.75
klee-out-cert-elements-oob-write_tinc-oob-read_new,1277564,140.01,94.03,82.29,402,87.03
klee-out-tinc-oob-read_strncasestr-oob-read_new,29077,13.16,98.61,76.56,288,57.38
