Path,Instrs,Time(s),ICov(%),BCov(%),ICount,TSolver(%)
klee-out-cert-elements-oob-write_printable-string-oob-read,57361,286.06,84.00,73.81,250,90.91
klee-out-cert-elements-oob-write_serializer-int32-oob-write,55697,148.03,94.34,76.92,318,90.80
klee-out-printable-string-oob-read_serializer-int32-oob-write,440,0.19,100.00,64.29,156,84.87
klee-out-strncasestr-oob-read_printable-string-oob-read,2883,12.32,100.00,66.67,78,83.56
klee-out-strncasestr-oob-read_serializer-int32-oob-write,3257,9.80,100.00,65.00,168,80.77
klee-out-tinc-oob-read_printable-string-oob-read,1533179,376.08,87.79,67.86,213,34.96
klee-out-tinc-oob-read_serializer-int32-oob-write,1774211,314.23,98.58,71.21,281,32.50
